LEXEME,REPLACEMENT,COMMENT
l̥o1 ~ a3=laɯ4,l̥o1,
ɲʰau2 ~ ɲčʰau2,ɲʰau2,
ŋki̯ɔŋ53 ~ ki̯ɔŋ33,ŋki̯ɔŋ53,
ke2 ~ ki2,ke2,
qʰeŋ5 ~ kʰeŋ5,qʰeŋ5,
yau3 ~ yau6,yau3,
kuɑ1 ~ ʔpɑ1,kuɑ1,
pa31 #,pa31,
ɲɕʰɔ4 #,ɲɕʰɔ4,
