ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
Western_Xiangxi-1_all-1-1,Western_Xiangxi-1_all-1,sa5,1-1,false,expert,Starostin2011,,,
Eastern_Xiangxi-1_all-1-1,Eastern_Xiangxi-1_all-1,xa31,1-3,false,expert,Starostin2011,,,
Qiandong-1_all-1-1,Qiandong-1_all-1,sɛ4,1-1,false,expert,Starostin2011,,,
Chuanqiandian-1_all-1-1,Chuanqiandian-1_all-1,tǝu1,1-2,false,expert,Starostin2011,,,
Diandongbei-1_all-1-1,Diandongbei-1_all-1,tu5,1-2,false,expert,Starostin2011,,,
Hmong_Daw-1_all-1-1,Hmong_Daw-1_all-1,hu3,1-3,false,expert,Starostin2011,,,
Hmong_Njua-1_all-1-1,Hmong_Njua-1_all-1,cɨ6,1-4,false,expert,Starostin2011,,,
Bunu-1_all-1-1,Bunu-1_all-1,tu5,1-2,false,expert,Starostin2011,,,
Baonao-1_all-1-1,Baonao-1_all-1,kou5,1-5,false,expert,Starostin2011,,,
Numao-1_all-1-1,Numao-1_all-1,tey4,1-6,false,expert,Starostin2011,,,
Longhua_Jiongnai-1_all-1-1,Longhua_Jiongnai-1_all-1,tu44,1-2,false,expert,Starostin2011,,,
Liuxiang_Jiongnai-1_all-1-1,Liuxiang_Jiongnai-1_all-1,tu44,1-2,false,expert,Starostin2011,,,
Xiaozhai_Younuo-1_all-1-1,Xiaozhai_Younuo-1_all-1,tou33,1-2,false,expert,Starostin2011,,,
Huangluo_Younuo-1_all-1-1,Huangluo_Younuo-1_all-1,tu33,1-2,false,expert,Starostin2011,,,
Northern_Pa-Hng-1_all-1-1,Northern_Pa-Hng-1_all-1,tɔ33,1-2,false,expert,Starostin2011,,,
Southern_Pa-Hng-1_all-1-1,Southern_Pa-Hng-1_all-1,tɦɔ33,1-2,false,expert,Starostin2011,,,
Hm-Nai-1_all-1-1,Hm-Nai-1_all-1,ki̯ei55,1-7,false,expert,Starostin2011,,,
Lianhua_She-1_all-1-1,Lianhua_She-1_all-1,si̯i6,1-8,false,expert,Starostin2011,,,
Luofu_She-1_all-1-1,Luofu_She-1_all-1,i1,1-9,false,expert,Starostin2011,,,
Western_Xiangxi-2_ashes-1-1,Western_Xiangxi-2_ashes-1,ʆi3,2-1,false,expert,Starostin2011,,,
Eastern_Xiangxi-2_ashes-1-1,Eastern_Xiangxi-2_ashes-1,pʰi55,2-2,false,expert,Starostin2011,,,
Qiandong-2_ashes-1-1,Qiandong-2_ashes-1,ʆʰu3,2-1,false,expert,Starostin2011,,,
Chuanqiandian-2_ashes-1-1,Chuanqiandian-2_ashes-1,c̢ʰǝu3,2-1,false,expert,Starostin2011,,,
Diandongbei-2_ashes-1-1,Diandongbei-2_ashes-1,c̢ʰao3,2-1,false,expert,Starostin2011,,,
Hmong_Daw-2_ashes-1-1,Hmong_Daw-2_ashes-1,čʰɔw3,2-1,false,expert,Starostin2011,,,
Hmong_Njua-2_ashes-1-1,Hmong_Njua-2_ashes-1,čʰau2,2-1,false,expert,Starostin2011,,,
Bunu-2_ashes-1-1,Bunu-2_ashes-1,ka3=sʰa3,2-1,false,expert,Starostin2011,,,
Baonao-2_ashes-1-1,Baonao-2_ashes-1,sʰi̯a3,2-1,false,expert,Starostin2011,,,
Numao-2_ashes-1-1,Numao-2_ashes-1,ʆu3,2-1,false,expert,Starostin2011,,,
Longhua_Jiongnai-2_ashes-1-1,Longhua_Jiongnai-2_ashes-1,tau31=θe53,2-1,false,expert,Starostin2011,,,
Liuxiang_Jiongnai-2_ashes-1-1,Liuxiang_Jiongnai-2_ashes-1,ču35=θey35,2-1,false,expert,Starostin2011,,,
Xiaozhai_Younuo-2_ashes-1-1,Xiaozhai_Younuo-2_ashes-1,cʰɔ22,2-1,false,expert,Starostin2011,,,
Huangluo_Younuo-2_ashes-1-1,Huangluo_Younuo-2_ashes-1,cʰɔ22,2-1,false,expert,Starostin2011,,,
Northern_Pa-Hng-2_ashes-1-1,Northern_Pa-Hng-2_ashes-1,qa22=si22,2-1,false,expert,Starostin2011,,,
Southern_Pa-Hng-2_ashes-1-1,Southern_Pa-Hng-2_ashes-1,qa31=ʆe31,2-1,false,expert,Starostin2011,,,
Hm-Nai-2_ashes-1-1,Hm-Nai-2_ashes-1,ʆi13,2-1,false,expert,Starostin2011,,,
Lianhua_She-2_ashes-1-1,Lianhua_She-2_ashes-1,si3,2-1,false,expert,Starostin2011,,,
Luofu_She-2_ashes-1-1,Luofu_She-2_ashes-1,si3,2-1,false,expert,Starostin2011,,,
Pa_Na-2_ashes-1-1,Pa_Na-2_ashes-1,pʰi̯o44,2-2,false,expert,Starostin2011,,,
