ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
Western_Xiangxi,Western Xiangxi,nort2748,North Hmongic,,,,,Hmong-Mien
Eastern_Xiangxi,Eastern Xiangxi,east2371,Eastern Xiangxi Miao,muq,Eurasia,28.7318,109.756,Hmong-Mien
Qiandong,Qiandong,east2369,East Hmongic,,,,,Hmong-Mien
Chuanqiandian,Chuanqiandian,nort3244,Northern Hmong,,Eurasia,24.041944,104.191944,Hmong-Mien
Diandongbei,Diandongbei,larg1235,Diandongbei-Large Flowery Miao,hmd,Eurasia,27.8682,104.06,Hmong-Mien
Hmong_Daw,Hmong Daw,hmon1333,Hmong Daw,mww,Eurasia,21.5461,103.164,Hmong-Mien
Hmong_Njua,Hmong Njua,hmon1264,Hmong Njua,hnj,Eurasia,22.5638,101.95,Hmong-Mien
Bunu,Bunu,buna1273,Bu-Nao Bunu,bwx,Eurasia,24.1025,107.711,Hmong-Mien
Baonao,Baonao,buna1273,Bu-Nao Bunu,bwx,Eurasia,24.1025,107.711,Hmong-Mien
Numao,Numao,numa1251,Numao,,Eurasia,,,Hmong-Mien
Longhua_Jiongnai,Longhua Jiongnai,jion1236,Jiongnai Bunu,pnu,Eurasia,23.8692,110.007,Hmong-Mien
Liuxiang_Jiongnai,Liuxiang Jiongnai,jion1236,Jiongnai Bunu,pnu,Eurasia,23.8692,110.007,Hmong-Mien
Xiaozhai_Younuo,Xiaozhai Younuo,youn1235,Younuo Bunu,buh,Eurasia,25.7638,110.474,Hmong-Mien
Huangluo_Younuo,Huangluo Younuo,youn1235,Younuo Bunu,buh,Eurasia,25.7638,110.474,Hmong-Mien
Northern_Pa-Hng,Northern Pa-Hng,pahn1237,Pa-Hng,pha,Eurasia,22.8049,105.165,Hmong-Mien
Southern_Pa-Hng,Southern Pa-Hng,pahn1237,Pa-Hng,pha,Eurasia,22.8049,105.165,Hmong-Mien
Hm-Nai,Hm-Nai,wuna1248,Wunai Bunu,bwn,Eurasia,27.9649,110.473,Hmong-Mien
Lianhua_She,Lianhua She,shee1238,She,shx,Eurasia,23.0399,114.814,Hmong-Mien
Luofu_She,Luofu She,shee1238,She,shx,Eurasia,23.0399,114.814,Hmong-Mien
Pa_Na,Pa Na,pana1310,Pa Na,,Eurasia,26.263819,110.096687,Hmong-Mien
