ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Western_Xiangxi-1_all-1,,Western_Xiangxi,1_all,sa5,sa5,s a ⁵/¹,,Starostin2011,1-1,,^ s a 5 $,default
Eastern_Xiangxi-1_all-1,,Eastern_Xiangxi,1_all,xa31,xa31,x a ³¹,,Starostin2011,1-3,,^ x a 31 $,default
Qiandong-1_all-1,,Qiandong,1_all,sɛ4,sɛ4,s ɛ ⁴/¹,,Starostin2011,1-1,,^ s ɛ 4 $,default
Chuanqiandian-1_all-1,,Chuanqiandian,1_all,tǝu1,tǝu1,t ǝ u ¹/¹,,Starostin2011,1-2,,^ t ǝ u 1 $,default
Diandongbei-1_all-1,,Diandongbei,1_all,tu5,tu5,t u ⁵/¹,,Starostin2011,1-2,,^ t u 5 $,default
Hmong_Daw-1_all-1,,Hmong_Daw,1_all,hu3,hu3,h u ³/¹,,Starostin2011,1-3,,^ h u 3 $,default
Hmong_Njua-1_all-1,,Hmong_Njua,1_all,cɨ6,cɨ6,ts ɨ ⁶/¹,,Starostin2011,1-4,,^ c ɨ 6 $,default
Bunu-1_all-1,,Bunu,1_all,tu5,tu5,t u ⁵/¹,,Starostin2011,1-2,,^ t u 5 $,default
Baonao-1_all-1,,Baonao,1_all,kou5,kou5,k o u ⁵/¹,,Starostin2011,1-5,,^ k o u 5 $,default
Numao-1_all-1,,Numao,1_all,tey4,tey4,t e j ⁴/¹,,Starostin2011,1-6,,^ t e y 4 $,default
Longhua_Jiongnai-1_all-1,,Longhua_Jiongnai,1_all,tu44,tu44,t u ⁴⁴,,Starostin2011,1-2,,^ t u 44 $,default
Liuxiang_Jiongnai-1_all-1,,Liuxiang_Jiongnai,1_all,tu44,tu44,t u ⁴⁴,,Starostin2011,1-2,,^ t u 44 $,default
Xiaozhai_Younuo-1_all-1,,Xiaozhai_Younuo,1_all,tou33,tou33,t o u ³³,,Starostin2011,1-2,,^ t o u 33 $,default
Huangluo_Younuo-1_all-1,,Huangluo_Younuo,1_all,tu33,tu33,t u ³³,,Starostin2011,1-2,,^ t u 33 $,default
Northern_Pa-Hng-1_all-1,,Northern_Pa-Hng,1_all,tɔ33,tɔ33,t ɔ ³³,,Starostin2011,1-2,,^ t ɔ 33 $,default
Southern_Pa-Hng-1_all-1,,Southern_Pa-Hng,1_all,tɦɔ33,tɦɔ33,tʰ ɔ ³³,,Starostin2011,1-2,,^ tɦ ɔ 33 $,default
Hm-Nai-1_all-1,,Hm-Nai,1_all,ki̯ei55,ki̯ei55,k j e i ⁵⁵,,Starostin2011,1-7,,^ k i̯ e i 55 $,default
Lianhua_She-1_all-1,,Lianhua_She,1_all,si̯i6,si̯i6,s j i ⁶/¹,,Starostin2011,1-8,,^ s i̯ i 6 $,default
Luofu_She-1_all-1,,Luofu_She,1_all,i1,i1,i ¹/¹,,Starostin2011,1-9,,^ i 1 $,default
Western_Xiangxi-2_ashes-1,,Western_Xiangxi,2_ashes,ʆi3,ʆi3,ɕ i ³/¹,,Starostin2011,2-1,,^ ʆ i 3 $,default
Eastern_Xiangxi-2_ashes-1,,Eastern_Xiangxi,2_ashes,pʰi55,pʰi55,pʰ i ⁵⁵,,Starostin2011,2-2,,^ pʰ i 55 $,default
Qiandong-2_ashes-1,,Qiandong,2_ashes,ʆʰu3,ʆʰu3,ɕ u ³/¹,,Starostin2011,2-1,,^ ʆʰ u 3 $,default
Chuanqiandian-2_ashes-1,,Chuanqiandian,2_ashes,c̢ʰǝu3,c̢ʰǝu3,ʈʂʰ ǝ u ³/¹,,Starostin2011,2-1,,^ c̢ʰ ǝ u 3 $,default
Diandongbei-2_ashes-1,,Diandongbei,2_ashes,c̢ʰao3,c̢ʰao3,ʈʂʰ a o ³/¹,,Starostin2011,2-1,,^ c̢ʰ a o 3 $,default
Hmong_Daw-2_ashes-1,,Hmong_Daw,2_ashes,čʰɔw3,čʰɔw3,tʃʰ ɔ w ³/¹,,Starostin2011,2-1,,^ čʰ ɔ w 3 $,default
Hmong_Njua-2_ashes-1,,Hmong_Njua,2_ashes,čʰau2,čʰau2,tʃʰ a u ²/¹,,Starostin2011,2-1,,^ čʰ au 2 $,default
Bunu-2_ashes-1,,Bunu,2_ashes,ka3=sʰa3,ka3=sʰa3,k a ³/¹ → sʰ a ³/¹,,Starostin2011,2-1,,^ k a 3 =sʰ a 3 $,default
Baonao-2_ashes-1,,Baonao,2_ashes,sʰi̯a3,sʰi̯a3,sʰ j a ³/¹,,Starostin2011,2-1,,^ sʰ i̯ a 3 $,default
Numao-2_ashes-1,,Numao,2_ashes,ʆu3,ʆu3,ɕ u ³/¹,,Starostin2011,2-1,,^ ʆ u 3 $,default
Longhua_Jiongnai-2_ashes-1,,Longhua_Jiongnai,2_ashes,tau31=θe53,tau31=θe53,t a u ³¹ → θ e ⁵³,,Starostin2011,2-1,,^ t au 31 = θ e 53 $,default
Liuxiang_Jiongnai-2_ashes-1,,Liuxiang_Jiongnai,2_ashes,ču35=θey35,ču35=θey35,tʃ u ³⁵ → θ e j ³⁵,,Starostin2011,2-1,,^ č u 35 = θ e y 35 $,default
Xiaozhai_Younuo-2_ashes-1,,Xiaozhai_Younuo,2_ashes,cʰɔ22,cʰɔ22,tsʰ ɔ ²²,,Starostin2011,2-1,,^ cʰ ɔ 22 $,default
Huangluo_Younuo-2_ashes-1,,Huangluo_Younuo,2_ashes,cʰɔ22,cʰɔ22,tsʰ ɔ ²²,,Starostin2011,2-1,,^ cʰ ɔ 22 $,default
Northern_Pa-Hng-2_ashes-1,,Northern_Pa-Hng,2_ashes,qa22=si22,qa22=si22,q a ²² → s i ²²,,Starostin2011,2-1,,^ q a 22 =s i 22 $,default
Southern_Pa-Hng-2_ashes-1,,Southern_Pa-Hng,2_ashes,qa31=ʆe31,qa31=ʆe31,q a ³¹ → ɕ e ³¹,,Starostin2011,2-1,,^ q a 31 = ʆ e 31 $,default
Hm-Nai-2_ashes-1,,Hm-Nai,2_ashes,ʆi13,ʆi13,ɕ i ¹³,,Starostin2011,2-1,,^ ʆ i 13 $,default
Lianhua_She-2_ashes-1,,Lianhua_She,2_ashes,si3,si3,s i ³/¹,,Starostin2011,2-1,,^ s i 3 $,default
Luofu_She-2_ashes-1,,Luofu_She,2_ashes,si3,si3,s i ³/¹,,Starostin2011,2-1,,^ s i 3 $,default
Pa_Na-2_ashes-1,,Pa_Na,2_ashes,pʰi̯o44 #,pʰi̯o44,pʰ j o ⁴⁴,,Starostin2011,2-2,,^ pʰ i̯ o 44 $,default
Western_Xiangxi-3_bark-1,,Western_Xiangxi,3_bark,qo1=ki̯ɔ5-ntu5,qo1=ki̯ɔ5-ntu5,q o ¹/¹ → k j ɔ ⁵/¹ ← n t u ⁵/¹,,Starostin2011,3-1,,^ q o 1 = k i̯ ɔ 5 - n t u 5 $,default
Qiandong-3_bark-1,,Qiandong,3_bark,qa1=liu5-tǝu5,qa1=liu5-tǝu5,q a ¹/¹ → l i u ⁵/¹ ← t ǝ u ⁵/¹,,Starostin2011,3-2,,^ q a 1 = l i u 5 - t ǝ u 5 $,default
Hmong_Daw-3_bark-1,,Hmong_Daw,3_bark,tǝw3-ntõ4,tǝw3-ntõ4,t ǝ w ³/¹ ← n t õ ⁴/¹,,Starostin2011,3-3,,^ t ǝ w 3 - n t õ 4 $,default
Hmong_Njua-3_bark-1,,Hmong_Njua,3_bark,taʉ2-ndoŋ3,taʉ2-ndoŋ3,t a ʉ ²/¹ ← n d o ŋ ³/¹,,Starostin2011,3-3,,^ t a ʉ 2 - n d o ŋ 3 $,default
Longhua_Jiongnai-3_bark-1,,Longhua_Jiongnai,3_bark,ntɔuŋ35=ki̯eu35,ntɔuŋ35=ki̯eu35,n t ɔ u ŋ ³⁵ → k j e u ³⁵,,Starostin2011,3-1,,^ n t ɔ u ŋ 35 = k i̯ e u 35 $,default
Liuxiang_Jiongnai-3_bark-1,,Liuxiang_Jiongnai,3_bark,ntaŋ22=ki̯eu22,ntaŋ22=ki̯eu22,n t a ŋ ²² → k j e u ²²,,Starostin2011,3-1,,^ n t a ŋ 22 = k i̯ e u 22 $,default
Northern_Pa-Hng-3_bark-1,,Northern_Pa-Hng,3_bark,qa22=li̯u55-ti̯a35,qa22=li̯u55-ti̯a35,q a ²² → l j u ⁵⁵ ← t j a ³⁵,,Starostin2011,3-2,,^ q a 22 = l i̯ u 55 - t i̯ a 35 $,default
Southern_Pa-Hng-3_bark-1,,Southern_Pa-Hng,3_bark,qa31=li̯ʉ55-pi̯a35,qa31=li̯ʉ55-pi̯a35,q a ³¹ → l j ʉ ⁵⁵ ← p j a ³⁵,,Starostin2011,3-2,,^ q a 31 = l i̯ ʉ 55 - p i̯ a 35 $,default
Hm-Nai-3_bark-1,,Hm-Nai,3_bark,qʰau35-ca35,qʰau35-ca35,qʰ a u ³⁵ ← ts a ³⁵,,Starostin2011,3-4,,^ qʰ au 35 - c a 35 $,default
Western_Xiangxi-4_belly-1,,Western_Xiangxi,4_belly,qo1=ɕʰi1,qo1=ɕʰi1,q o ¹/¹ → tɕʰ i ¹/¹,,Starostin2011,4-1,,^ q o 1 =ɕʰ i 1 $,default
Eastern_Xiangxi-4_belly-1,,Eastern_Xiangxi,4_belly,qu53=pi53,qu53=pi53,q u ⁵³ → p i ⁵³,,Starostin2011,4-2,,^ q u 53 = p i 53 $,default
Qiandong-4_belly-1,,Qiandong,4_belly,ɕʰu1,ɕʰu1,tɕʰ u ¹/¹,,Starostin2011,4-1,,^ ɕʰ u 1 $,default
Chuanqiandian-4_belly-1,,Chuanqiandian,4_belly,plaŋ1,plaŋ1,p l a ŋ ¹/¹,,Starostin2011,4-3,,^ p l a ŋ 1 $,default
Diandongbei-4_belly-1,,Diandongbei,4_belly,a3=ɕʰao1,a3=ɕʰao1,a ³/¹ → tɕʰ a o ¹/¹,,Starostin2011,4-1,,^ a 3 =ɕʰ a o 1 $,default
Hmong_Daw-4_belly-1,,Hmong_Daw,4_belly,pla1,pla1,p l a ¹/¹,,Starostin2011,4-3,,^ p l a 1 $,default
Hmong_Njua-4_belly-1,,Hmong_Njua,4_belly,plaŋ1,plaŋ1,p l a ŋ ¹/¹,,Starostin2011,4-3,,^ p l a ŋ 1 $,default
Bunu-4_belly-1,,Bunu,4_belly,ka3=ƛǝŋ1,ka3=ƛǝŋ1,k a ³/¹ → tɬ ǝ ŋ ¹/¹,,Starostin2011,4-3,,^ k a 3 = ƛ ǝ ŋ 1 $,default
Baonao-4_belly-1,,Baonao,4_belly,ɲ̥au3,ɲ̥au3,ɲ̥ a u ³/¹,,Starostin2011,4-4,,^ ɲ̥ au 3 $,default
Numao-4_belly-1,,Numao,4_belly,ɲ̥uŋ3,ɲ̥uŋ3,ɲ̥ u ŋ ³/¹,,Starostin2011,4-4,,^ ɲ̥ u ŋ 3 $,default
Longhua_Jiongnai-4_belly-1,,Longhua_Jiongnai,4_belly,tʰe44,tʰe44,tʰ e ⁴⁴,,Starostin2011,4-5,,^ tʰ e 44 $,default
Liuxiang_Jiongnai-4_belly-1,,Liuxiang_Jiongnai,4_belly,tʰey44,tʰey44,tʰ e j ⁴⁴,,Starostin2011,4-5,,^ tʰ e y 44 $,default
Xiaozhai_Younuo-4_belly-1,,Xiaozhai_Younuo,4_belly,ta31-tu33,ta31-tu33,t a ³¹ ← t u ³³,,Starostin2011,4-6,,^ t a 31 - t u 33 $,default
Huangluo_Younuo-4_belly-1,,Huangluo_Younuo,4_belly,ta31-tu33,ta31-tu33,t a ³¹ ← t u ³³,,Starostin2011,4-6,,^ t a 31 - t u 33 $,default
Northern_Pa-Hng-4_belly-1,,Northern_Pa-Hng,4_belly,a33=ŋ̥ŋ22,a33=ŋ̥ŋ22,a ³³ → ŋ ŋ̊ ²²,,Starostin2011,4-4,,^ a 33 = ŋ̥ŋ 22 $,default
Southern_Pa-Hng-4_belly-1,,Southern_Pa-Hng,4_belly,a44=ŋ̥ŋ31,a44=ŋ̥ŋ31,a ⁴⁴ → ŋ ŋ̊ ³¹,,Starostin2011,4-4,,^ a 44 = ŋ̥ŋ 31 $,default
Hm-Nai-4_belly-1,,Hm-Nai,4_belly,naŋ35=n̥n13,naŋ35=n̥n13,n a ŋ ³⁵ → n̥ n ¹³,,Starostin2011,4-4,,^ n a ŋ 35 = n̥ n 13 $,default
